;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
1;415675,3896000014;31772,10902711524;6222,1312272602;166270,15584000057;95830,36139999975;230930,7720000008;321209,9360999992;135100,41060000105;417067,52550000045
2;509123,96460686944;38038,11723398159;9290,048548838267;203649,5858427478;112936,108247647;282846,6470038165;304131,4172523517;169910,5387561695;417067,52550000045
3;602572,5396137435;43649,197749618346;11823,386575271346;241029,01584549743;124706,71836950925;334762,52200763527;292360,8071304887;210055,803638126;417067,52550000045
4;696021,1146206141;48883,25017323517;14179,25381164588;278408,44584824564;133562,58744574885;386678,3970114523;283504,9380542491;253115,80956570344;417067,52550000045
5;789469,6896274898;53844,076108408306;16434,621620658367;315787,87585099594;140614,78861883894;438594,27201527235;276452,7368811589;297979,4833964334;417067,52550000045
6;882918,2646343579;58588,31719937246;18636,822441954086;353167,30585374316;146469,25568865865;490510,1470190878;270598,2698113396;344040,8913304291;417067,52550000045
7;976366,8396412302;63174,677760482904;20802,070590864983;390546,7358564921;151445,64885968599;542426,0220229056;265621,87664031255;390980,37316321966;417067,52550000045
8;1069815,4146481005;67643,33850280954;22940,99256735379;427926,1658592402;155790,84092680516;594341,8970267224;261276,68457319314;438551,0560999173;417067,52550000045
9;1163263,9896549773;72018,70104303787;25061,2559353929;465305,59586199094;159622,39345399346;646257,7720305432;257445,13204600455;486635,3785765497;417067,52550000045
10;1256712,5646618465;76315,77099786006;27166,76216037163;502685,0258647386;162986,54690387947;698173,6470343592;254080,97859611872;535187,1001304797;417067,52550000045
11;1350161,139668713;80549,08192191542;29260,3466350589;540064,4558674853;165959,2320238688;750089,5220381749;251108,29347612947;584130,2900143061;417067,52550000045
12;571675,3896000014;37149,97944218222;7007,510880433021;213070,15584000057;95830,36139999975;230930,7720000008;314211,35179348267;135100,41060000105;417067,52550000045
13;665123,9646068695;42680,54767662587;10271,491865545908;250449,5858427478;112936,108247647;282846,6470038165;295941,1991293399;169910,5387561695;417067,52550000045
14;758572,5396137435;47866,19429942405;13060,920329477185;287829,01584549743;124706,71836950925;334762,52200763527;283304,8695828499;210055,803638126;417067,52550000045
15;852021,1146206141;52889,65667095244;15592,951136257681;325208,44584824564;133562,58744574885;386678,3970114523;273857,3634359991;253115,80956570344;417067,52550000045
16;945469,6896274898;57834,01625101333;18002,16619798528;362587,87585099594;140614,78861883894;438594,27201527235;265770,2456580305;297979,4833964334;417067,52550000045
17;1038918,2646343579;62547,32580198215;20332,699807423858;399967,30585374316;146469,25568865865;490510,1470190878;259281,0518924917;344040,8913304291;417067,52550000045
18;1132366,8396412302;67120,07064915629;22588,39749700508;437346,7358564921;151445,64885968599;542426,0220229056;253652,3686405248;390980,37316321966;417067,52550000045
19;1225815,4146481005;71604,81520969313;24801,854641497554;474726,1658592402;155790,84092680516;594341,8970267224;248946,73864870987;438551,0560999173;417067,52550000045
20;1319263,9896549773;76000,18074119919;26987,9641210314;512105,59586199094;159622,39345399346;646257,7720305432;244612,51130960876;486635,3785765497;417067,52550000045
21;1412712,5646618465;80314,65036803896;29157,97714553561;549485,0258647386;162986,54690387947;698173,6470343592;241052,4098419589;535187,1001304797;417067,52550000045
22;1506161,139668713;84592,72225316001;31344,056515265976;586864,4558674853;165959,2320238688;750089,5220381749;237415,16241440453;584130,2900143061;417067,52550000045
23;727675,3896000014;41078,28273690516;7436,275149545894;259870,15584000057;95830,36139999975;230930,7720000008;297577,0511278349;135100,41060000105;417067,52550000045
24;821123,9646068695;46647,620410856114;10823,551283569848;297249,5858427478;112936,108247647;282846,6470038165;277907,6396461297;169910,5387561695;417067,52550000045
25;914572,5396137435;51669,19575062905;13793,46461194977;334629,01584549743;124706,71836950925;334762,52200763527;264237,53751060116;210055,803638126;417067,52550000045
26;1008021,1146206141;56597,0622066708;16458,757936684968;372008,44584824564;133562,58744574885;386678,3970114523;254010,67641894607;253115,80956570344;417067,52550000045
27;1101469,6896274898;61502,94069899844;18993,682530770697;409387,87585099594;140614,78861883894;438594,27201527235;245110,25143060338;297979,4833964334;417067,52550000045
