;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
1;498810,4675200014;76573,00800060123;10282,890554524769;149643,14025600042;95830,36139999975;230930,7720000008;321209,9360999992;135100,41060000105;417067,52550000045
2;610948,757528243;90445,02846510184;17246,59083216676;183284,6272584729;112936,108247647;282846,6470038165;304131,4172523517;169910,5387561695;417067,52550000045
3;723087,0475364926;103234,69474514978;23326,828485200618;216926,11426094777;124706,71836950925;334762,52200763527;292360,8071304887;210055,803638126;417067,52550000045
4;835225,3375447382;115401,272494175;29113,77230624305;250567,60126342144;133562,58744574885;386678,3970114523;283504,9380542491;253115,80956570344;417067,52550000045
5;947363,6275529885;127116,30752019353;34734,62759996082;284209,08826589654;140614,78861883894;438594,27201527235;276452,7368811589;297979,4833964334;417067,52550000045
6;1059501,917561229;138473,4075931508;40267,61745082044;317850,5752683687;146469,25568865865;490510,1470190878;270598,2698113396;344040,8913304291;417067,52550000045
7;1171640,2075694767;149569,5893167709;45739,53814837028;351492,062270843;151445,64885968599;542426,0220229056;265621,87664031255;390980,37316321966;417067,52550000045
8;1283778,4975777196;160471,25660303244;51167,95138202267;385133,5492733159;155790,84092680516;594341,8970267224;261276,68457319314;438551,0560999173;417067,52550000045
9;1395916,7875859744;171218,73633424737;56565,52881013179;418775,03627579234;159622,39345399346;646257,7720305432;257445,13204600455;486635,3785765497;417067,52550000045
10;1508055,0775942197;181836,82726642254;61938,71811760432;452416,5232782659;162986,54690387947;698173,6470343592;254080,97859611872;535187,1001304797;417067,52550000045
11;1620193,3676024557;192349,54801090938;67292,20516406883;486058,01028073666;165959,2320238688;750089,5220381749;251108,29347612947;584130,2900143061;417067,52550000045
12;678810,4675200013;85460,64647602766;11580,833770820882;185643,14025600042;95830,36139999975;230930,7720000008;314211,35179348267;135100,41060000105;417067,52550000045
