;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
53;7685674,835590941;136612,12326270703;65621,02010063248;2105702,450677282;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
54;8350198,035639817;150252,19570277896;72911,10305446947;2305059,410691945;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
55;9014721,235688642;163871,7566750764;80196,87173187049;2504416,3707065927;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
56;2869489,235200001;21084,565782549707;1964,8835454505934;610846,7705600003;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
57;3534012,435248867;38181,994609350644;13285,5812066561;810203,7305746601;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
58;4198535,635297736;53205,91567843247;21331,479711421627;1009560,6905893206;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
59;4863058,835346602;67538,91916703689;28909,718990627673;1208917,6506039805;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
60;5527582,035395472;81567,7066551232;36334,256762499754;1408274,6106186416;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
61;6192105,23544432;95439,77871880878;43691,04172819986;1607631,570633296;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
62;6856628,435493198;109220,54589739087;51016,10487289148;1806988,5306479593;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
63;7521151,635542055;122937,84206550448;58324,01859105223;2006345,4906626164;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
64;8185674,835590941;136612,12326270703;65621,02010063248;2205702,450677282;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
65;8850198,035639817;150252,19570277896;72911,10305446947;2405059,410691945;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
66;9514721,235688642;163871,7566750764;80196,87173187049;2604416,3707065927;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
67;3369489,235200001;21084,565782549707;1964,8835454505934;710846,7705600003;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
68;4034012,435248867;38181,994609350644;13285,5812066561;910203,7305746601;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
69;4698535,635297736;53205,91567843247;21331,479711421627;1109560,6905893206;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
70;5363058,835346602;67538,91916703689;28909,718990627673;1308917,6506039805;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
71;6027582,035395472;81567,7066551232;36334,256762499754;1508274,6106186416;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
72;6692105,23544432;95439,77871880878;43691,04172819986;1707631,570633296;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
73;7356628,435493198;109220,54589739087;51016,10487289148;1906988,5306479593;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
74;8021151,635542055;122937,84206550448;58324,01859105223;2106345,4906626167;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
75;8685674,83559094;136612,12326270703;65621,02010063248;2305702,450677282;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
76;9350198,035639817;150252,19570277896;72911,10305446947;2505059,410691945;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
77;10014721,235688642;163871,7566750764;80196,87173187049;2704416,3707065927;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
78;3869489,235200001;21084,565782549707;1964,8835454505934;810846,7705600003;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
79;4534012,435248867;38181,994609350644;13285,5812066561;1010203,7305746601;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
80;5198535,635297736;53205,91567843247;21331,479711421627;1209560,6905893206;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
81;5863058,835346602;67538,91916703689;28909,718990627673;1408917,6506039805;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
82;6527582,035395472;81567,7066551232;36334,256762499754;1608274,6106186416;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
83;7192105,23544432;95439,77871880878;43691,04172819986;1807631,570633296;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
84;7856628,435493198;109220,54589739087;51016,10487289148;2006988,5306479593;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
85;8521151,635542054;122937,84206550448;58324,01859105223;2206345,4906626167;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
86;9185674,83559094;136612,12326270703;65621,02010063248;2405702,450677282;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
87;9850198,035639817;150252,19570277896;72911,10305446947;2605059,410691945;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
88;10514721,235688642;163871,7566750764;80196,87173187049;2804416,3707065927;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
89;4369489,235200001;21084,565782549707;1964,8835454505934;910846,7705600003;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
90;5034012,435248867;38181,994609350644;13285,5812066561;1110203,73057466;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
91;5698535,635297736;53205,91567843247;21331,479711421627;1309560,6905893206;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
92;6363058,835346602;67538,91916703689;28909,718990627673;1508917,6506039805;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
93;7027582,035395472;81567,7066551232;36334,256762499754;1708274,6106186416;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
94;7692105,23544432;95439,77871880878;43691,04172819986;1907631,570633296;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
95;8356628,435493198;109220,54589739087;51016,10487289148;2106988,5306479596;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
96;9021151,635542054;122937,84206550448;58324,01859105223;2306345,4906626167;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
97;9685674,83559094;136612,12326270703;65621,02010063248;2505702,450677282;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
98;10350198,035639817;150252,19570277896;72911,10305446947;2705059,410691945;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
99;11014721,235688642;163871,7566750764;80196,87173187049;2904416,3707065927;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
100;4869489,235200001;21084,565782549707;1964,8835454505934;1010846,7705600003;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
101;5534012,435248867;38181,994609350644;13285,5812066561;1210203,73057466;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
102;6198535,635297736;53205,91567843247;21331,479711421627;1409560,6905893206;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
103;6863058,835346602;67538,91916703689;28909,718990627673;1608917,6506039805;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
104;7527582,035395472;81567,7066551232;36334,256762499754;1808274,6106186416;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
105;8192105,23544432;95439,77871880878;43691,04172819986;2007631,570633296;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
106;8856628,435493197;109220,54589739087;51016,10487289148;2206988,5306479596;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
107;9521151,635542054;122937,84206550448;58324,01859105223;2406345,4906626167;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
108;10185674,83559094;136612,12326270703;65621,02010063248;2605702,450677282;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
109;10850198,035639817;150252,19570277896;72911,10305446947;2805059,410691945;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
110;11514721,235688642;163871,7566750764;80196,87173187049;3004416,3707065927;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
111;5369489,235200001;21084,565782549707;1964,8835454505934;1110846,7705600003;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
112;6034012,435248867;38181,994609350644;13285,5812066561;1310203,73057466;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
113;6698535,635297736;53205,91567843247;21331,479711421627;1509560,6905893206;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
114;7363058,835346602;67538,91916703689;28909,718990627673;1708917,6506039805;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
115;8027582,035395472;81567,7066551232;36334,256762499754;1908274,6106186416;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
116;8692105,23544432;95439,77871880878;43691,04172819986;2107631,570633296;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
117;9356628,435493197;109220,54589739087;51016,10487289148;2306988,5306479596;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
118;10021151,635542054;122937,84206550448;58324,01859105223;2506345,4906626167;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
119;10685674,83559094;136612,12326270703;65621,02010063248;2705702,450677282;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
120;11350198,035639817;150252,19570277896;72911,10305446947;2905059,410691945;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
121;12014721,235688642;163871,7566750764;80196,87173187049;3104416,3707065927;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
122;438768,4668000015;91004,03858633862;5141,445277262388;131630,54004000046;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
123;1227889,7668580308;177631,49969454826;57319,65465074215;368366,9300574092;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
124;2017011,066916064;258833,2821700596;100928,80623153727;605103,3200748191;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
125;2806132,3669740893;338227,1636433213;143314,24950545162;841839,7100922267;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
126;3595253,66703212;416825,0132485614;185297,5071685088;1078576,1001096359;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
127;4384374,967090128;495012,79082661815;227103,47832208214;1315312,4901270384;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
128;5173496,26714817;572961,6539553222;268826,4440440178;1552048,8801444508;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
129;5962617,567206187;650744,4346066321;310504,53543319757;1788785,2701618562;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
130;6751738,867264254;728414,6594173943;352154,0732099244;2025521,660179276;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
131;7540860,1673222715;805995,3713136623;393785,5074324552;2262258,050196681;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
132;8329981,467380262;883522,4115359207;435405,6526316476;2498994,4402140784;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
133;1188768,4668000014;91004,03858633862;5141,445277262388;281630,54004000046;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
134;1977889,7668580308;177631,49969454826;57319,65465074215;518366,9300574092;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
135;2767011,066916064;258833,2821700596;100928,80623153727;755103,3200748191;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
136;3556132,3669740893;338227,1636433213;143314,24950545162;991839,7100922267;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
137;4345253,66703212;416825,0132485614;185297,5071685088;1228576,1001096359;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
138;5134374,967090128;495012,79082661815;227103,47832208214;1465312,4901270384;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
139;5923496,26714817;572961,6539553222;268826,4440440178;1702048,8801444508;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
140;6712617,567206187;650744,4346066321;310504,53543319757;1938785,2701618562;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
141;7501738,867264254;728414,6594173943;352154,0732099244;2175521,660179276;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
142;8290860,1673222715;805995,3713136623;393785,5074324552;2412258,050196681;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
143;9079981,467380263;883522,4115359207;435405,6526316476;2648994,4402140784;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
144;1938768,4668000014;91004,03858633862;5141,445277262388;431630,54004000046;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
