;0,0;100,0;200,0;300,0;400,0;500,0;600,0;700,0;800,0;900,0;1000,0
0,0;37994,240254375436;44157,490322615246;48514,55788645105;52144,44856383522;55235,10876991605;57542,66591850919;58770,8154385279;59540,92396632157;60017,92326551973;60438,37684518006;60699,05966504153
50,0;47328,16578281986;52952,039542171784;57471,17169442596;61252,01606738857;64532,68316949505;66864,68994319429;68137,78900433707;68802,6538020866;69209,02433561317;69459,19105117313;69641,05414743898
100,0;55472,58432488969;60927,11462890124;65462,66036257882;69431,56377828226;72792,19217458827;75192,69022256983;76451,87427926564;76990,13893662383;77254,85678939591;77445,1893218811;77594,60736628607
150,0;63062,50398488105;68482,60780721012;73055,82014335577;77152,9169074487;80698,61439942115;83085,7886857857;84348,19273448379;84868,78456308355;85107,65491596154;85262,6186270816;85362,2897718826
200,0;70278,69772906668;75836,18244899862;80496,62322976915;84627,0647899836;88326,45118780516;90832,06873042998;92151,89293605392;92740,27873956508;92983,34167950333;93100,70862012681;93203,580918884
250,0;77225,13964132655;82880,025609406;87603,9621346275;91889,85273481338;95652,16488944371;98272,31819026022;99666,84522533012;100285,13335033065;100604,39437122419;100785,63204693672;100915,52017365281
300,0;83976,74835134788;89708,46814616137;94531,6316948376;98940,38308876654;102831,98914751637;105547,0477536291;107015,22108912561;107687,78228690516;108052,44870035705;108303,12995454777;108462,92120675094
350,0;90584,33107016333;96406,66985119069;101287,65650643062;105778,2881092861;109771,91148168377;112587,27593276397;114194,3957236814;114901,88438743295;115349,59118306897;115630,02269673554;115788,36008515488
400,0;97079,95697843077;102988,14486223059;107982,65601190919;112540,85028767562;116621,2628769389;119541,69509482147;121225,53381045084;122046,71461825978;122509,80989484834;122800,46761005132;122987,31471375412
450,0;103482,53315823169;109472,62751357457;114521,14701974759;119176,30740782832;123366,33908306401;126332,62256431888;128119,69881989234;128992,76677558059;129526,38495847545;129874,8464465123;130048,65578973677
500,0;109809,42855697432;115936,77876842598;121034,44364543565;125745,43955902252;130017,58005268092;133091,35498076654;134915,5836387456;135866,33944312093;136424,77374146902;136810,82901897753;137068,66284427975
