;0,0;100,0;200,0;300,0;400,0;500,0;600,0;700,0;800,0;900,0;1000,0
0,0;253411,84895000065;195534,11674872928;166304,54832136887;142779,7263822338;123109,27243889896;108417,20578424122;100178,22429101718;94780,81355673788;91244,12665830474;88349,72076924237;86455,80901363469
50,0;396579,10508470976;348761,7571506596;320364,4800015564;296183,73243436805;274635,37145683804;259749,7401311519;251593,57216786983;247588,26272030408;245881,3304939796;245034,12658802;244392,43653038665
100,0;577933,3301805116;528574,4995084882;498675,7648392331;472506,7618071588;449295,4754524956;432604,68320928735;422725,4336388417;417522,6130074718;414561,6571955631;412682,4093940049;411453,2914049133
150,0;769945,5558325574;719137,7227125718;688123,8560629557;660524,8640105058;636031,3130930928;617837,6490363864;606343,2964924497;599950,8668356946;595875,0747448166;593285,739648468;591237,2017099095
200,0;966116,4375160777;915327,1389351696;882654,5277591936;853229,2184719235;827455,7509076812;808782,2170391884;796871,1549504257;789565,0501498342;784397,2223296469;780961,5549008359;778699,6375446926
250,0;1164393,4647416524;1113160,9025411147;1079133,2535525083;1049136,943971873;1022153,251290884;1002040,068198186;989004,6561863146;981335,7475719004;975811,4668935132;971689,1138906667;968458,837629596
300,0;1364147,9991220974;1313574,3416759295;1279243,7102033834;1248164,0635560746;1220445,7179109894;1199432,0395780206;1185554,8888039533;1176896,5759283786;1170415,1366832133;1165693,383758878;1162018,801731959
350,0;1565031,7159108606;1515372,5814391775;1480817,0329301276;1449306,0992331242;1420823,7407954533;1398922,5499383947;1384318,2725819184;1374872,8239837554;1367850,4450104116;1362413,9136539756;1358204,74066726
400,0;1766717,8702575606;1717702,1525885318;1683239,6345646705;1651575,8822901864;1622664,3972409682;1600425,8032977255;1584886,4144314062;1574780,4381388798;1566783,373467523;1560705,6785001562;1556281,5687401667
450,0;1969102,413830392;1920590,8472133612;1886306,9511102089;1854295,9309667516;1825430,7530056755;1802843,909176216;1786953,3300737776;1776096,114009299;1767433,8452039026;1760568,9724897714;1755465,900342121
500,0;2172094,5406979094;2124461,634826124;2090306,7323975468;2058363,1826678463;2029110,7705696211;2006546,9339960464;1990551,9024009244;1979301,6942823208;1970098,9724939803;1962537,966459969;1956784,7904104183
